|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1226|2|0.118|33|15.458|2149.475941242983|83.74290971775659
Generation 1227|4|0.158|36|15.598|9149.756275931224|124.66649728846468
Generation 1228|2|0.142|33|15.878|2149.9540739565236|104.92713213403215
Generation 1229|3|0.168|39|15.912|5009.253363800625|122.55461322576687
Generation 1230|2|0.158|33|15.328|2149.890070823094|107.94820652217948
Generation 1231|3|0.122|33|15.376|5013.96180892374|94.87395358840993
Generation 1232|2|0.156|600|17.808|2149.739062976162|111.21588758129833
Generation 1233|3|0.152|33|15.762|5023.038198361497|121.63341682420842
Generation 1234|3|0.17|44|15.816|4990.15164987895|130.20901849053547
Generation 1235|2|0.14|33|15.246|2149.1313553086493|94.35334607066754
Generation 1236|2|0.118|600|17.936|2149.9540739565236|85.55956869448842
Generation 1237|2|0.164|600|16.082|2149.475941242983|105.7451063130559
Generation 1238|3|0.17|46|15.698|4997.401762786789|125.56569359913338
Generation 1239|2|0.134|39|15.288|2149.9540739565236|104.90204019770037
Generation 1240|3|0.162|37|15.002|5000.174476842505|114.19444411232428
Generation 1241|2|0.122|33|13.578|2149.9540739565236|81.68537837109561
Generation 1242|2|0.162|46|14.256|2149.475941242983|122.28503722943299
Generation 1243|2|0.142|43|14.442|2149.964098556101|99.30969473972742
Generation 1244|2|0.124|33|14.368|2149.890070823094|83.36461739372538
Generation 1245|3|0.13|33|13.94|5008.019294011269|97.36133656029973
Generation 1246|3|0.126|44|14.57|4990.15164987895|93.79469620921344
